gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
22,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,12,2018,4.395419639,45.4201064,26.7,13.9,,31.9
21,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,12,2017,4.514999613,45.47529369,32.2,13.8,,27.6
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,1,2018,4.514999613,45.47529369,31.6,10,,31.4
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,2,2018,4.514999613,45.47529369,29.9,19.7,,33.3
22,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,3,2018,4.514999613,45.47529369,26.8,9.6,,51
21,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,4,2018,4.514999613,45.47529369,21.1,12.1,,72.8
55,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,5,2018,4.514999613,45.47529369,20.5,13.7,,63.3
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,6,2018,4.514999613,45.47529369,16.2,10.6,,64.5
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,7,2018,4.514999613,45.47529369,17.7,13.3,,83.1
31,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,8,2018,4.514999613,45.47529369,16.8,11.3,,73.2
17,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,9,2018,4.514999613,45.47529369,25.9,13,,57.4
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,10,2018,4.514999613,45.47529369,27.4,17.7,,39.3
18,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,11,2018,4.514999613,45.47529369,30.2,15.9,,23.8
39,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,12,2018,4.514999613,45.47529369,34.1,16.2,,20.8
23,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,12,2017,5.928435518,45.56462103,33,17.3,,23.9
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,1,2018,5.928435518,45.56462103,27,14.1,,27.5
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,2,2018,5.928435518,45.56462103,25.9,21.6,,33.2
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,3,2018,5.928435518,45.56462103,27.7,13.4,,43.5
53,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,4,2018,5.928435518,45.56462103,20,13.8,,64.1
24,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,5,2018,5.928435518,45.56462103,13.5,13.1,,57.1
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,6,2018,5.928435518,45.56462103,11.2,11.6,,69.9
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,7,2018,5.928435518,45.56462103,11.9,12.9,,92.1
32,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,8,2018,5.928435518,45.56462103,11.1,10.8,,68
19,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,9,2018,5.928435518,45.56462103,18.9,13.1,,60.8
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,10,2018,5.928435518,45.56462103,26.1,17.7,,31.5
20,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,11,2018,5.928435518,45.56462103,28.1,19,,10.8
55,SAVOIE,Chamb?Ÿ??ry,PASTEUR,FR33101,urban,Fond,12,2018,5.928435518,45.56462103,24.6,15.6,,18.9
113,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,12,2017,5.918616424,45.59668502,26.8,18.1,,56.3
112,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,1,2018,5.918616424,45.59668502,22.4,15.6,,67
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,2,2018,5.918616424,45.59668502,22.9,21.2,,37.6
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,3,2018,5.918616424,45.59668502,16.4,12.8,,56.3
23,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,4,2018,5.918616424,45.59668502,11.7,15,,77.3
25,SAVOIE,Chamb?Ÿ??ry,CHAMBERY LE HAUT,FR33102,urban,Fond,5,2018,5.918616424,45.59668502,7.6,14.2,,67
