,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
49,21,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,Ozone,7,27.6,ug.m-3,mensuel,1,1,231464,12,2017,4.514999613,45.47529369
50,86,LOIRE,Roisey,COL_OEILLON,FR29440,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231387,12,2017,4.61581495,45.38958683
51,19,ISERE,Bourgoin-Jallieu,Bourgoin-Jallieu,FR27007,urban,Fond,Ozone,7,66.3,ug.m-3,mensuel,1,1,232051,5,2018,5.270867533,45.60820782
52,6,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,Ozone,7,89.8,ug.m-3,mensuel,1,1,232546,8,2018,5.070377771,45.75485265
53,81,PUY-DE-DOME,Anzat-le-Luguet,Anzat le Luguet,FR07160,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231905,4,2018,2.812967352,45.53236713
54,133,HAUTE-SAVOIE,Thonon-les-Bains,THONON les Bains,FR33260,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232692,9,2018,6.484725919,46.37448041
55,105,ARDECHE,Annonay,Annonay Urb centre,FR36004,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231364,12,2017,4.669704166,45.24649528
56,17,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Ozone,7,48,ug.m-3,mensuel,1,1,232815,10,2018,4.395419639,45.4201064
57,56,ISERE,Vienne,Vienne Estressin,FR27102,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232028,4,2018,4.863904251,45.53975628
58,98,ISERE,Vienne,Vienne Centre,FR27004,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231487,12,2017,4.875409555,45.52596386
59,9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,Ozone,7,65.2,ug.m-3,mensuel,1,1,232151,5,2018,4.802195719,45.60192128
60,8,RHONE,Villefranche-sur-SaÃ´ne,Villefranche Centre ,FR20077,urban,Fond,Ozone,7,65.1,ug.m-3,mensuel,1,1,232569,8,2018,4.715564903,45.9901271
61,101,AIN,Ferney-Voltaire,Ferney-Voltaire,FR33303,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231667,2,2018,6.112505597,46.25583976
62,36,PUY-DE-DOME,Orcines,Sommet du Puy de Dom,FR07015,rural-nearcity,Fond,Ozone,7,108.7,ug.m-3,mensuel,1,1,232414,7,2018,2.964587835,45.77213529
63,115,HAUTE-LOIRE,Fay-sur-Lignon,Fay-sur-Lignon,FR07055,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232746,10,2018,4.226088816,44.9844301
64,6,ISERE,Vif,Grenoble PeriurbSud,FR15045,suburban,Fond,Ozone,7,34.4,ug.m-3,mensuel,1,1,231679,2,2018,5.676696129,45.05780535
65,22,LOIRE,La TalaudiÃ¨re,LA TALAUDIERE,FR29439,suburban,Fond,Ozone,7,41.3,ug.m-3,mensuel,1,1,231418,12,2017,4.429667882,45.48181688
66,87,LOIRE,Roisey,COL_OEILLON,FR29440,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,233007,12,2018,4.61581495,45.38958683
67,15,ISERE,Lieudieu,Plateau de Bonnevaux,FR27010,rural-regional,Fond,Ozone,7,90.2,ug.m-3,mensuel,1,1,232663,9,2018,5.181077552,45.46090006
68,58,RHONE,Yzeron,COTEAUX_DU_LYONNAIS,FR20204,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231928,4,2018,4.598848721,45.7234334
69,126,RHONE,Lyon,ST JUST,FR20004,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232011,4,2018,4.820334655,45.75529247
70,98,RHONE,Lyon,POINT DU JOUR,FR20018,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232260,6,2018,4.790200546,45.74856906
71,72,CANTAL,Aurillac,Aurillac Aerodrome,FR07014,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231773,3,2018,2.420191688,44.89837594
72,131,ALLIER,MontluÃ§on,Montlucon Chateau,FR07013,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232105,5,2018,2.605002568,46.34002422
73,29,AIN,Bourg-en-Bresse,Bourg-en-Bresse,FR33305,urban,Fond,Ozone,7,96.7,ug.m-3,mensuel,1,1,232320,7,2018,5.226583389,46.21175966
74,80,AIN,Oyonnax,Oyonnax Piscine,FR33307,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232652,9,2018,5.641944608,46.25404262
75,70,ISERE,Fontaine,Fontaine Les Balmes,FR15017,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232615,9,2018,5.686968799,45.19044442
76,14,ISERE,Sablons,Sablons,FR27005,suburban,Fond,Ozone,7,27.8,ug.m-3,mensuel,1,1,232947,11,2018,4.770701965,45.32185724
